aggregated from the Excel ffiile attached to the article																				
Family	Genus	species	SpeciesNo	Mc	Na	Yo	Ch	An	Ot	Ni	Hg	Mi	Hy	Ha	Hi	Mk	Ae	Me	Im	period
Assimineidae	Paludinella	sp3	92	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	historical
Euconulidae	Trochochlamys	ogasawarana	93	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Vertigidae	Vertigo	sp	94	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	historical
Ariophantidae	Vitrinula	hahajimana	95	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Ariophantidae	Vitrinula	chaunax	96	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Enidae	Boninena	callistoderma	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	modern
Enidae	Boninena	chichijimana	2	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	modern
Succinidae	Boninosuccinea	punctulispira	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	modern
Succinidae	Boninosuccinea	ogasawarae	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Achatinellidae	Elasmias	kitaiwojimanum	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Vertigidae	Gastrocopa	boninensis	6	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	modern
Vertigidae	Gastrocopa	ogasawarana	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Vertigidae	Gastrocopa	chichijimana	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Vitrinidae	Hawaiia	minuscula	9	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	modern
Euconulidae	Hirasea	diplomphalus	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasea	chichijimana	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasea	operculina	12	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasea	hyplica	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasea	nesiotica	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasea	latispire	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasea	profundispira	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasea	goniobasis	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasea	major	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasea	liobasis	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasiella	clara	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Achatinellidae	Lamellidea	ogasawarana	21	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	modern
Achatinellidae	Lamellidea	sp	22	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	modern
Achatinellidae	Lamellidea	monodonta	23	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	modern
Achatinellidae	Lamellidea	nakadai	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Lamprocystis	hahajimana	25	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	modern
Euconulidae	Liardtia	boninensis	26	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	modern
Bradybaenidae	Mandarina	hirasei	27	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	modern
Bradybaenidae	Mandarina	chichijimana	28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	modern
Bradybaenidae	Mandarina	suenoae	29	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	modern
Bradybaenidae	Mandarina	tomiyama	30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	modern
Bradybaenidae	Mandarina	mandarina	31	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	modern
Bradybaenidae	Mandarina	luhuana	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Bradybaenidae	Mandarina	pallasiana	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Helicinidae	Ogasawarana	capsula	34	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	modern
Helicinidae	Ogasawarana	discrepans	35	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	modern
Helicinidae	Ogasawarana	optima	36	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	modern
Helicinidae	Ogasawarana	comes	37	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	modern
Helicinidae	Ogasawarana	minamijimana	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Helicinidae	Ogasawarana	chichijimana	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Helicinidae	Ogasawarana	rex	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Assimineidae	Paludinella	minima	41	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	modern
